110314 1145 00143           501  01            1858                    1310 7 
110314 1146 00007  501  15                     4153                    1853 G 
110314 1147 00047  501  15                     4153                    1853 9 
110314 1148 00014  501  16                     4105                    1858 G 
110314 1148 00046           501  01            1851                    4076 7 
110314 1149 00002  501  17                     1221                    1858 9 
110314 1149 00002           501  01            1858                    1981 7 
110314 1150 00004  501  18                     1255                    1853 G 
110314 1150 00020           501  02            1835             89107918130 7 
110314 1150 00016  501  18                     1255                    1853 9 
110314 1151 00003  501  19                     1945                    1850 G 
110314 1151 00009           501  01            1822                    4041 7 
110314 1151 00237  501  16                     4105                    1858 9 
110314 1152 00026           501  02            1858                    1221 7 
110314 1153 00020           501  02            1822                    1610 7 
110314 1153 00002  501  20               8312728888                    1983 9 
110314 1154 00159           501  03            1824                92724079 7 
110314 1154 00120           501  02            1858                    1438 7 
110314 1155 00002  501  21                     1442                    1437 9 
110314 1155 00002           501  03            1437                    1981 7 
110314 1156 00002           501  04            1428                    1981 7 
110314 1156 00002  501  22                     1442                    1428 9 
110314 1156 00509           501  01            1853            989101480521 7 
110314 1157 00043           501  03            1822                    1832 7 
110314 1157 00213           501  02            1824                    1878 7 
110314 1159 00038           501  01            1860                    1610 7 
110314 1200 00003  501  23                     1878                    1824 G 
110314 1201 00048           501  01            1858                   04304 7 
110314 1201 00046  501  23                     1878                    1824 9 
110314 1201 01007  501  19                     1945                    1850 9 
110314 1201 00000  501  24                     1442                    1437 H 
110314 1202 00002  501  27                     1878                    1826 G 
110314 1202 00011  501  26                     1924                    1424 G 
110314 1202 00002  501  25                     1442                    1437 9 
110314 1202 00002           501  01            1437                    1981 7 
110314 1202 00021  501  27                     1878                    1826 9 
110314 1202 00035  501  26                     1924                    1424 9 
110314 1206 00001  501  28                     1924                    1424 H 
110314 1207 00002  501  29                     1442                    1428 G 
110314 1209 00205  501  29                     1442                    1428 9 
110314 1210 00002  501  30                     1944                    1858 9 
110314 1210 00002           501  02            1858                    1981 7 
110314 1210 00323           501  01            1858                    1438 7 
110314 1212 00004  501  01                     4041                    1822 G 
110314 1212 00012  501  01                     4041                    1822 9 
110314 1212 00003  501  02                     1800                    1858 G 
110314 1214 00156  501  02                     1800                    1858 9 
110314 1215 00038           501  01            1850            989202505504 7 
110314 1215 00044           501  03            1860                  071541 7 
110314 1215 00011  501  04                     4076                    1851 G 
110314 1216 00007  501  05                    04345                    1822 G 
110314 1216 00009           501  01            1853            989050119470 7 
110314 1216 00025  501  05                    04345                    1822 9 
110314 1216 00005  501  06                     1611                    1835 G 
110314 1217 00028  501  06                     1611                    1835 9 
110314 1217 00003  501  07                     1611                    1818 G 
110314 1217 00016  501  07                     1611                    1818 9 
110314 1217 00006           501  02            1851                    4076 7 
110314 1218 00234  501  04                     4076                    1851 9 
110314 1218 00200           501  01            1427            989202557961 7 
110314 1219 00015  501  08                    61426                    1440 G 
110314 1219 00025           501  01            1427            989202557961 7 
110314 1219 00050           501  02            1851                    4076 7 
110314 1219 00004  501  09                     1438                    1424 G 
110314 1220 00052  501  09                     1438                    1424 9 
110314 1220 00130  501  08                    61426                    1440 9 
110314 1221 00003           501  02            1858                    1981 7 
110314 1221 00003  501  10                     1944                    1858 9 
110314 1221 00125           501  01            1851            989536776839 7 
110314 1224 00018  501  11                     1213                    1428 G 
110314 1224 00006  501  11                     1213                    1428 9 
110314 1225 00016  501  12               9601634869                    1983 9 
110314 1226 00002  501  13                     1213                    1854 H 
110314 1226 00013  501  14                     4202                    1858 G 
110314 1227 00017  501  15                     1525                    1822 G 
110314 1227 00103  501  14                     4202                    1858 9 
110314 1228 00053  501  15                     1525                    1822 9 
110314 1231 00003           501  01            1858                    1981 7 
110314 1231 00003  501  16                     1944                    1858 9 
110314 1234 00011  501  17                     4101                    1822 G 
110314 1234 00006  501  17                     4101                    1822 9 
110314 1236 00015  501  18                     1011                    1822 G 
110314 1236 00034  501  18                     1011                    1822 9 
110314 1239 00000  501  19               8317797055                    1855 I 
110314 1239 00013           501  01            1851                92482376 7 
110314 1239 00005  501  20                   011018                    1853 H 
110314 1239 00000  501  21                   011018                    1855 I 
110314 1240 00012  501  23                     4151                    1822 G 
110314 1240 00003           501  02            1853                    1981 7 
110314 1240 00003  501  22                   011018                    1853 9 
110314 1240 00018  501  23                     4151                    1822 9 
110314 1249 00002           501  03            1428                    1981 7 
110314 1249 00002  501  24               8314160174                    1428 9 
110314 1251 00034           501  03            1822                   04345 7 
110314 1251 00006           501  03            1822                   23885 7 
